name,rating,position,overall_pace,overall_shoot,overall_passing,overall_dribbling,overall_defending,overall_physical,acceleration,sprint_speed,finishing,shot_power,long_shots,volleys,penalties,vision,crossing,free_kicks,short_passing,long_passing,curve,agility,balance,reactions,ball_controll,dribbling,composure,interceptions,heading,defensive_awareness,standing_tackle,sliding_tackle,jumping,stamina,strength,agression
Julián Álvarez,92,ST,90,91,86,90,60,81,95,86,91,96,91,85,83,92,85,84,83,84,91,94,94,85,90,89,89,51,76,67,59,51,75,87,76,90
Harry Kane,92,ST,86,95,88,87,49,88,85,87,97,96,90,91,96,92,85,69,89,90,87,72,75,98,89,88,98,46,89,52,38,40,85,89,89,86
Kylian Mbappé,92,ST,98,90,83,93,37,77,98,98,94,89,83,84,81,86,81,72,88,74,83,94,82,94,92,94,89,39,74,27,35,33,78,88,77,65
Claude Makélélé,92,CDM,85,52,83,83,90,89,87,84,54,50,53,41,34,87,85,37,89,82,58,89,87,86,85,80,83,89,69,90,95,93,93,97,88,79
Robert Pirès,92,LM,90,86,89,92,41,70,90,90,90,80,81,81,85,92,90,85,89,86,88,91,90,88,93,92,90,48,54,35,39,37,82,88,66,52
Jairzinho,92,RW,94,92,87,93,51,76,96,93,94,94,89,88,81,92,85,79,88,81,84,93,88,91,91,95,93,48,90,46,48,46,86,85,83,47
Samuel Eto'o,92,ST,95,93,81,90,47,83,95,95,96,91,91,90,90,85,77,86,85,72,81,89,83,94,91,90,94,43,83,47,41,36,91,90,80,78
Ruud van Nistelrooy,92,ST,86,91,74,85,37,82,85,87,93,94,78,94,90,79,71,79,80,53,78,73,68,99,90,84,98,36,76,31,31,31,79,80,87,74
Rivaldo,92,LW,87,91,88,92,44,78,86,88,89,94,94,92,88,88,89,92,89,84,94,90,77,93,94,92,92,38,77,39,43,39,75,85,81,62
Raúl,92,CF,88,92,82,90,47,75,87,89,96,87,88,92,83,94,70,78,89,66,75,88,92,92,93,88,92,41,96,45,42,34,91,88,77,48
Luís Figo,92,RW,92,88,89,92,41,80,93,91,89,85,89,80,85,88,92,83,91,85,76,91,81,89,93,95,83,42,64,34,41,38,72,87,78,77
Kenny Dalglish,92,ST,90,92,77,90,41,73,92,89,94,89,91,93,90,75,77,88,85,56,83,92,90,94,91,89,89,30,86,36,39,37,79,86,67,71
Javier Zanetti,92,RB,86,63,88,85,90,81,85,87,62,75,50,60,69,84,95,58,94,88,60,79,85,91,92,81,88,93,85,88,91,89,50,92,77,87
Hugo Sánchez,92,ST,92,93,81,91,44,75,91,92,94,93,89,98,90,84,85,89,85,56,85,92,90,89,90,93,84,45,93,38,37,34,86,79,74,68
Hristo Stoichkov,92,ST,92,93,86,92,50,86,93,91,94,92,92,92,92,88,85,89,85,82,90,90,84,89,92,93,89,53,82,36,53,48,79,86,83,93
Gary Lineker,92,ST,88,91,73,86,36,76,90,87,95,88,86,91,88,72,62,67,83,70,64,83,79,92,89,85,86,43,88,26,28,25,78,85,79,58
Fabio Cannavaro,92,CB,80,43,63,68,95,85,84,77,34,57,50,42,52,50,59,37,73,70,63,85,82,91,70,58,82,96,90,95,95,94,93,78,87,85
Emilio Butragueño,92,ST,94,90,80,92,41,68,95,93,95,87,85,87,83,89,75,77,85,62,79,91,90,91,92,93,89,45,88,35,33,30,84,84,65,51
Dennis Bergkamp,92,CF,84,91,86,90,37,78,85,83,93,91,85,93,94,91,84,84,90,77,82,81,82,95,94,89,95,30,64,28,41,36,78,82,77,74
David Beckham,92,RM,80,87,95,88,69,82,77,82,82,89,96,84,90,94,98,97,93,97,98,78,84,94,92,86,94,71,73,68,69,63,72,93,77,82
Carles Puyol,92,CB,70,45,68,58,94,90,69,70,35,71,42,37,55,58,70,48,76,73,51,54,55,90,65,49,85,96,92,93,95,91,86,85,93,91
Bobby Moore,92,CB,68,64,83,78,93,85,69,68,55,77,68,64,76,81,76,66,92,89,72,82,83,93,90,66,94,92,88,94,94,92,84,93,83,80
Andrea Pirlo,92,CM,73,80,95,91,71,67,74,72,78,80,84,73,90,96,90,96,96,96,94,84,76,95,95,91,95,79,54,74,69,66,59,84,65,55
Alessandro Nesta,92,CB,72,42,65,67,94,86,74,70,39,50,39,43,47,58,54,33,81,69,46,38,52,89,78,65,78,93,86,95,95,94,84,73,92,87
Alessandro Del Piero,92,CF,83,92,89,92,43,67,84,83,95,86,91,87,94,94,89,91,89,80,90,84,66,89,95,95,93,41,76,38,42,36,58,82,64,59
Karim Benzema,92,CM,83,89,87,92,81,86,82,83,93,88,81,89,85,93,79,77,93,80,86,82,76,97,96,92,95,81,99,89,50,37,87,90,90,69
Lothar Matthäus,92,CDM,88,87,88,80,90,83,90,86,77,94,95,91,99,92,83,88,90,90,74,74,74,99,89,73,97,96,76,89,92,91,74,89,77,95
Virgil van Dijk,92,CB,83,61,73,74,92,88,70,93,53,82,65,46,63,67,54,72,81,88,62,63,54,91,78,72,92,92,89,94,94,88,90,76,95,87
Roberto Baggio,92,CAM,87,83,90,91,39,61,89,85,86,73,84,84,84,93,87,88,92,87,92,80,79,86,94,93,89,38,69,37,33,30,63,70,63,42
Johan Cruyff,92,CF,91,90,89,94,41,73,93,89,92,83,91,93,88,92,86,84,90,86,92,97,80,92,96,94,91,43,59,38,36,39,67,82,69,71
Eusébio,92,CF,93,94,88,92,41,77,92,93,95,95,92,89,92,88,89,87,89,87,86,97,95,94,89,92,89,35,82,39,36,32,88,93,69,73
Cafu,92,RB,91,58,85,88,89,85,92,90,46,67,66,64,76,85,93,64,86,78,77,79,83,88,89,90,89,92,76,89,90,88,82,91,85,77
Sadio Mané,92,LM,93,87,85,91,47,80,94,93,90,87,82,79,79,89,83,68,89,75,82,96,91,94,89,91,87,37,90,45,45,41,90,88,75,78
Mohamed Salah,92,RW,92,91,85,92,49,78,91,93,95,85,87,86,88,88,83,72,87,80,87,92,93,95,90,92,94,60,64,41,47,45,72,90,78,66
Robert Lewandowski,92,ST,77,92,81,87,45,84,78,77,95,92,85,90,91,84,74,88,87,73,82,78,83,94,90,86,89,67,99,0,57,26,86,77,88,82
Mohamed Salah,92,ST,92,91,85,92,48,78,91,93,95,85,87,86,88,88,83,72,87,80,87,92,93,95,90,92,94,59,63,41,46,44,72,90,78,66
Kylian Mbappé,92,ST,98,90,82,93,37,78,98,98,94,89,83,84,81,85,80,71,87,73,82,94,82,94,92,94,89,39,74,27,35,33,79,89,78,66
Lionel Messi,92,CAM,82,90,91,95,35,65,88,77,91,87,92,89,76,95,85,94,92,91,94,92,96,93,94,96,97,41,72,21,36,25,69,71,69,45
Robert Lewandowski,92,ST,77,92,81,87,45,84,78,77,95,92,85,90,91,84,74,88,87,73,82,78,83,94,90,86,89,67,99,0,57,26,86,77,88,82
Kevin De Bruyne,92,CM,75,89,94,88,66,79,77,74,86,93,92,84,84,95,95,84,94,94,90,77,79,92,91,89,90,99,82,0,98,80,65,90,76,77
Ferenc Puskás,92,ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerd Müller,92,ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garrincha,92,RW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paolo Maldini,92,CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gavi,91,CM,88,80,90,92,76,81,89,87,85,70,81,61,64,95,81,55,98,91,86,95,99,86,90,93,82,83,50,70,83,78,85,94,66,99
João Cancelo,91,LB,90,78,88,90,85,80,91,89,74,85,84,66,56,88,91,71,91,82,90,84,83,90,92,91,91,99,99,None,99,99,79,99,68,83
Vinícius Jr.,91,LW,99,86,82,94,34,76,99,99,91,83,83,78,71,83,80,69,83,81,85,98,87,86,93,96,83,30,59,38,29,21,85,95,70,66
Kalidou Koulibaly,91,CB,85,37,70,77,92,90,77,91,28,75,22,16,37,71,45,33,84,79,63,58,38,94,82,79,93,89,88,94,93,90,87,74,99,88
Ashley Cole,91,LB,90,70,85,85,91,81,91,89,60,80,79,73,76,83,89,65,88,84,85,86,88,90,85,84,86,94,70,95,90,98,82,99,70,89
Nemanja Vidić,91,CB,84,51,63,74,94,92,82,85,45,70,43,52,66,58,45,48,76,73,52,70,74,88,76,70,90,90,94,95,95,92,94,88,93,93
Sergio Ramos,91,CB,83,72,78,77,92,88,91,77,68,82,67,72,94,76,67,80,83,85,77,73,72,94,86,69,95,93,98,91,91,92,99,64,93,99
Casemiro,91,CDM,66,76,78,75,89,92,63,69,67,92,84,65,69,78,60,77,87,86,64,64,69,91,81,70,88,90,81,89,90,89,87,92,92,93
Neymar Jr,91,CAM,90,87,87,95,39,64,91,89,88,84,86,91,97,91,86,89,87,83,90,95,84,90,96,97,95,39,66,37,34,31,65,83,55,66
Wayne Rooney,91,ST,89,92,83,88,55,89,90,88,92,94,92,92,87,81,79,82,86,84,86,84,83,92,91,86,87,44,89,52,56,44,87,91,87,90
Robin van Persie,91,ST,85,94,87,90,46,74,86,85,94,94,91,96,94,87,87,88,89,79,89,84,68,93,94,90,91,50,80,38,44,37,69,79,78,59
Steven Gerrard,91,CM,77,90,90,85,77,84,75,78,88,92,95,84,85,88,88,82,93,95,84,71,69,87,92,85,84,76,75,76,79,74,74,89,82,85
Sócrates,91,CAM,84,90,91,90,45,84,85,83,87,92,93,91,89,94,89,89,90,91,89,83,60,86,95,92,97,34,88,30,53,48,70,92,84,77
Ronald Koeman,91,CB,75,88,89,80,90,86,73,76,82,98,94,83,97,82,88,97,88,97,94,66,72,91,86,78,87,93,85,88,92,89,85,86,86,86
Roberto Carlos,91,LB,92,83,84,81,86,86,93,91,76,97,93,77,77,75,89,97,84,81,97,79,87,91,86,76,80,93,78,84,86,88,84,94,83,86
Robert Pirès,91,LM,88,82,88,89,40,64,88,88,86,77,78,78,82,91,89,84,88,85,87,81,79,84,92,91,86,47,53,34,38,36,76,84,60,47
Philipp Lahm,91,RB,87,72,87,87,90,73,88,86,68,69,81,67,79,86,91,63,88,86,87,87,93,94,89,83,94,93,69,94,88,96,79,94,63,69
Pavel Nedvěd,91,LM,85,88,90,90,60,81,84,85,84,91,93,85,84,90,90,88,90,89,86,82,78,88,92,92,84,64,78,63,52,50,70,90,75,85
Paul Scholes,91,CM,72,87,91,80,64,82,73,71,84,91,94,85,73,94,89,73,93,94,76,68,89,89,87,75,88,82,83,56,60,42,85,94,73,88
Patrick Vieira,91,CM,83,80,82,85,90,91,85,82,78,84,84,68,76,89,67,60,89,89,66,74,70,89,89,85,91,94,83,85,94,87,81,94,90,93
Patrick Kluivert,91,ST,86,88,80,83,41,82,86,86,90,92,82,85,84,84,67,78,86,78,75,76,77,90,88,82,79,39,92,38,29,41,91,79,86,75
Miroslav Klose,91,ST,88,88,76,82,41,81,92,84,93,87,79,91,83,74,76,72,79,72,70,78,73,93,83,82,86,51,94,21,38,37,93,81,84,68
Michael Owen,91,ST,90,89,70,88,34,67,91,90,94,86,81,89,88,74,69,68,78,49,73,86,85,91,86,90,84,24,84,29,31,30,84,80,63,58
Michael Laudrup,91,CAM,85,79,90,92,38,64,86,84,80,75,77,78,85,94,93,79,91,82,89,87,82,89,92,94,90,37,69,30,38,28,65,78,65,42
Michael Ballack,91,CM,81,90,88,83,81,86,80,81,87,94,92,86,92,87,80,87,94,93,69,68,70,85,91,83,85,82,86,75,84,78,87,88,85,85
Marcel Desailly,91,CB,83,52,66,67,90,90,82,83,40,73,59,51,55,73,45,41,76,72,49,59,56,87,76,60,92,91,89,92,89,87,84,83,92,93
Laurent Blanc,91,CB,79,69,70,78,92,86,77,80,67,77,60,68,91,58,57,72,81,82,63,70,70,88,87,72,86,90,86,93,94,89,77,89,85,88
Kaká,91,CAM,91,86,88,92,44,73,92,90,85,87,86,86,86,91,87,82,90,84,89,88,86,90,92,93,94,48,61,44,39,37,57,87,78,49
Juan Román Riquelme,91,CAM,70,87,93,93,32,69,67,73,84,90,91,79,87,95,91,93,94,93,91,82,88,86,96,95,95,26,59,22,36,34,64,71,74,53
Ian Rush,91,ST,86,92,72,86,45,81,84,88,94,88,90,93,88,77,67,70,78,55,78,80,79,91,89,85,92,34,92,39,46,30,86,84,82,74
Gheorghe Hagi,91,CAM,83,89,90,90,43,65,84,83,85,93,92,88,91,89,89,94,92,88,88,86,84,88,92,90,89,44,58,34,46,41,74,78,60,61
Fernando Torres,91,ST,93,90,79,88,45,78,95,91,95,87,82,85,88,89,78,67,83,59,80,88,83,95,87,89,90,38,84,37,46,40,85,86,78,65
Fernando Hierro,91,CB,73,68,76,70,93,87,73,73,56,83,78,77,75,72,64,75,81,88,66,65,85,85,74,63,88,94,94,95,94,80,92,83,89,84
Didier Drogba,91,ST,90,92,77,82,47,90,91,89,95,94,85,93,88,80,77,84,78,67,76,73,68,88,87,80,87,47,95,39,41,36,91,89,94,79
David Trezeguet,91,ST,81,92,70,82,45,80,80,81,96,93,81,93,85,69,59,57,82,70,56,69,57,92,89,81,85,37,92,36,46,35,77,83,86,60
Clarence Seedorf,91,CAM,80,87,90,88,68,82,78,81,82,91,92,84,89,92,88,85,91,89,84,75,88,93,92,88,90,82,61,69,64,60,74,84,85,73
Bastian Schweinsteiger,91,CM,76,86,89,86,86,86,74,77,81,93,91,88,77,90,84,84,92,90,86,78,81,93,90,84,89,89,81,85,86,84,85,92,82,87
Andriy Shevchenko,91,ST,88,92,72,87,34,75,86,89,93,92,89,88,87,76,63,90,74,65,90,81,79,88,86,89,85,38,86,24,27,22,86,77,79,62
Alan Shearer,91,ST,81,93,77,78,52,85,82,80,95,94,86,93,94,76,77,86,82,63,81,71,71,87,82,76,88,44,94,28,65,55,88,84,88,80
Joshua Kimmich,91,CM,78,80,90,99,85,81,88,69,76,87,92,77,49,88,94,71,90,93,88,99,99,99,99,97,99,86,74,87,87,80,81,96,70,91
Toni Kroos,91,CM,80,85,93,86,79,76,83,78,81,93,90,86,77,92,91,87,96,96,89,67,75,96,93,85,93,89,65,79,81,67,36,84,80,67
N'Golo Kanté,91,CDM,80,75,81,85,90,85,86,76,74,81,74,64,61,84,74,54,90,83,54,82,97,98,85,82,88,94,56,93,96,89,78,98,75,96
Casemiro,91,CM,76,78,80,77,90,92,72,80,68,94,87,66,71,80,62,79,90,89,66,65,71,93,83,72,90,91,82,90,91,90,87,92,92,93
Harry Kane,91,ST,84,93,86,85,48,85,83,85,95,94,88,89,94,90,83,67,87,88,85,70,74,95,87,86,95,45,87,51,37,39,82,86,86,83
Kylian Mbappé,91,LW,99,92,85,95,40,82,99,99,96,91,85,86,83,88,83,73,90,75,85,96,84,96,94,96,91,42,80,29,38,36,83,94,82,69
Hristo Stoichkov,91,LW,91,92,87,91,49,85,92,91,92,90,91,92,96,89,87,91,85,84,90,93,85,89,91,91,92,46,87,37,50,46,78,86,81,95
Rafael Leão,91,ST,96,85,81,91,34,83,95,97,88,88,79,82,70,82,83,67,84,70,89,87,85,88,91,94,86,30,79,28,30,26,70,86,90,67
Fabio Cannavaro,91,CB,78,44,63,67,93,84,79,78,35,59,51,43,43,48,66,36,71,66,59,85,80,83,68,58,77,94,90,93,93,92,99,81,86,80
Kenny Dalglish,91,ST,89,91,78,89,42,72,91,88,94,88,88,89,90,77,80,91,83,57,85,94,89,90,89,89,86,36,82,39,39,38,79,86,65,70
Carles Puyol,91,CB,75,45,67,58,93,91,74,75,36,71,42,38,56,56,77,47,71,70,49,55,56,87,64,50,82,94,91,94,92,97,88,93,91,90
Gareth Bale,91,RW,89,92,90,88,63,83,88,90,89,99,94,92,83,86,94,97,89,87,99,86,71,86,90,89,95,83,99,None,83,79,99,70,91,75
Samuel Eto'o,91,ST,93,92,82,89,52,82,94,93,93,93,89,88,90,86,76,87,87,73,85,93,84,87,89,88,92,46,97,50,47,40,93,88,79,77
Luís Figo,91,RW,91,87,89,91,40,79,92,90,88,84,87,81,86,90,90,85,92,85,78,89,81,88,91,92,91,40,61,34,39,36,73,82,78,78
Bobby Moore,91,CB,80,62,82,77,92,84,81,79,50,79,69,63,76,83,75,68,86,90,75,84,85,95,86,64,96,93,86,93,92,91,84,94,84,74
Emilio Butragueño,91,ST,93,89,80,91,42,69,93,93,94,87,83,87,83,86,76,79,85,64,84,91,90,90,92,92,88,46,86,35,35,32,88,86,66,53
Heung Min Son,91,LW,90,91,86,89,44,75,87,92,93,90,91,81,75,88,87,78,88,78,89,88,79,94,87,90,92,41,71,49,36,35,65,96,69,67
Diego Forlán,91,ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karim Benzema,91,CF,80,88,83,87,39,78,79,80,92,87,80,88,84,89,75,73,89,76,82,78,72,92,91,87,90,39,90,43,24,18,79,82,82,63
Lionel Messi,91,RW,81,89,90,94,34,64,87,76,90,86,91,88,75,94,84,93,91,90,93,91,95,92,93,95,96,40,70,20,35,24,68,70,68,44
Kevin De Bruyne,91,CM,74,88,93,87,64,77,76,73,85,92,91,83,83,94,94,83,93,93,89,76,78,91,90,88,89,96,80,0,95,77,63,88,74,75
Robert Lewandowski,91,ST,75,91,79,86,44,83,76,75,94,91,84,89,90,82,72,86,85,71,80,77,82,93,89,85,88,65,99,0,56,25,85,76,87,81
Rudi Völler,91,ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kylian Mbappé,91,ST,97,89,80,92,36,76,97,97,93,88,82,83,80,83,78,69,85,71,80,93,81,93,91,93,88,38,72,26,34,32,77,87,76,64
Cristiano Ronaldo,91,ST,83,89,80,90,37,78,81,85,90,90,87,83,87,78,82,81,82,77,83,82,71,99,93,90,99,32,98,26,35,26,99,79,80,66
Robert Lewandowski,91,ST,75,91,79,86,44,83,76,75,94,91,84,89,90,81,71,85,84,70,79,77,82,93,89,85,88,49,91,0,42,19,85,76,87,81
Kevin De Bruyne,91,CM,74,88,93,87,64,77,76,73,85,92,91,83,83,94,94,83,93,93,89,76,78,91,90,88,89,66,55,68,65,53,63,88,74,75
Sadio Mané,91,LM,92,86,84,90,46,80,93,92,89,86,81,78,78,88,82,67,88,75,81,95,90,93,88,90,86,37,88,44,44,40,90,88,75,78
Pierre-Emerick Aubame...,91,ST,93,90,84,85,42,76,91,95,93,88,85,88,88,84,82,86,89,73,91,83,72,90,87,84,89,67,99,0,41,50,84,83,83,48
Mohamed Salah,91,RM,91,90,83,91,47,77,90,92,94,84,86,85,87,86,81,70,85,78,85,91,92,94,89,91,93,57,62,40,45,43,71,89,77,65
Pelé,91,CF,94,89,88,93,53,73,94,94,91,84,87,90,88,91,87,86,89,85,81,97,94,92,93,92,93,61,83,48,46,42,88,88,72,55
Marco van Basten,91,ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johan Cruyff,91,CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eusébio,91,CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ronaldinho,91,CAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zinedine Zidane,91,CM,84,86,91,90,73,81,86,83,84,87,88,85,84,92,88,91,93,88,86,77,85,90,94,91,86,85,83,59,78,67,75,88,84,65
