name,rating,position,overall_pace,overall_shoot,overall_passing,overall_dribbling,overall_defending,overall_physical,acceleration,sprint_speed,finishing,shot_power,long_shots,volleys,penalties,vision,crossing,free_kicks,short_passing,long_passing,curve,agility,balance,reactions,ball_controll,dribbling,composure,interceptions,heading,standing_tackle,sliding_tackle,jumping,stamina,strength,agression
Éder Militão,94.0,CB,90.0,60.0,81.0,83.0,95.0,92.0,87.0,92.0,58.0,74.0,50.0,41.0,72.0,68.0,80.0,46.0,91.0,88.0,69.0,81.0,71.0,98.0,85.0,81.0,85.0,96.0,92.0,96.0,94.0,95.0,96.0,89.0,94.0
Ruud Gullit,94.0,CF,87.0,93.0,93.0,90.0,84.0,91.0,86.0,88.0,91.0,98.0,97.0,90.0,87.0,94.0,90.0,94.0,94.0,96.0,91.0,80.0,86.0,96.0,93.0,90.0,92.0,83.0,97.0,84.0,79.0,87.0,96.0,90.0,88.0
David Beckham,94.0,RM,91.0,88.0,96.0,91.0,70.0,83.0,90.0,92.0,83.0,90.0,97.0,85.0,91.0,95.0,99.0,98.0,94.0,98.0,99.0,86.0,90.0,95.0,93.0,89.0,95.0,72.0,74.0,70.0,64.0,73.0,94.0,78.0,83.0
Gerd Müller,94.0,ST,88.0,94.0,77.0,88.0,43.0,76.0,93.0,84.0,98.0,95.0,83.0,96.0,86.0,83.0,67.0,76.0,83.0,68.0,80.0,86.0,94.0,98.0,93.0,82.0,92.0,42.0,96.0,31.0,26.0,90.0,82.0,77.0,63.0
Ronaldinho,94.0,LW,92.0,90.0,91.0,95.0,37.0,81.0,94.0,91.0,93.0,86.0,89.0,83.0,88.0,93.0,90.0,90.0,92.0,86.0,90.0,94.0,89.0,93.0,95.0,96.0,94.0,26.0,54.0,41.0,31.0,86.0,83.0,84.0,70.0
Paolo Maldini,94.0,CB,86.0,56.0,75.0,69.0,96.0,83.0,85.0,86.0,57.0,73.0,38.0,65.0,54.0,69.0,76.0,31.0,87.0,79.0,36.0,65.0,69.0,95.0,74.0,61.0,95.0,96.0,93.0,97.0,96.0,84.0,81.0,85.0,79.0
Garrincha,94.0,RW,90.0,87.0,94.0,96.0,41.0,68.0,91.0,90.0,89.0,86.0,86.0,85.0,82.0,94.0,95.0,90.0,94.0,92.0,92.0,91.0,88.0,96.0,96.0,98.0,91.0,45.0,67.0,37.0,33.0,65.0,82.0,66.0,54.0
Johan Cruyff,94.0,CF,91.0,92.0,91.0,94.0,42.0,73.0,93.0,89.0,95.0,84.0,93.0,94.0,88.0,94.0,87.0,83.0,93.0,87.0,93.0,92.0,82.0,97.0,96.0,95.0,94.0,44.0,64.0,36.0,40.0,66.0,82.0,70.0,72.0
Ferenc Puskás,94.0,CF,91.0,96.0,91.0,92.0,46.0,76.0,92.0,90.0,97.0,96.0,95.0,94.0,93.0,92.0,88.0,88.0,92.0,89.0,92.0,91.0,92.0,96.0,94.0,91.0,96.0,45.0,75.0,42.0,39.0,70.0,92.0,77.0,57.0
Lionel Messi,94.0,CF,86.0,93.0,94.0,97.0,37.0,70.0,92.0,81.0,94.0,90.0,95.0,92.0,78.0,98.0,88.0,97.0,95.0,94.0,97.0,94.0,98.0,95.0,96.0,98.0,99.0,44.0,76.0,38.0,26.0,74.0,77.0,74.0,48.0
Lionel Messi,94.0,RW,85.0,92.0,94.0,97.0,37.0,69.0,91.0,80.0,93.0,89.0,94.0,91.0,78.0,98.0,88.0,97.0,95.0,94.0,97.0,94.0,98.0,95.0,96.0,98.0,99.0,44.0,76.0,38.0,26.0,73.0,75.0,73.0,47.0
Sadio Mané,93.0,LW,94.0,88.0,86.0,92.0,49.0,83.0,95.0,94.0,91.0,88.0,83.0,80.0,80.0,90.0,84.0,69.0,90.0,76.0,83.0,97.0,92.0,95.0,90.0,92.0,88.0,39.0,94.0,47.0,42.0,94.0,92.0,78.0,81.0
Gareth Bale,93.0,RW,91.0,93.0,92.0,90.0,72.0,86.0,90.0,92.0,90.0,99.0,95.0,93.0,84.0,87.0,97.0,99.0,91.0,89.0,99.0,88.0,73.0,88.0,92.0,91.0,97.0,69.0,99.0,69.0,65.0,99.0,72.0,95.0,77.0
Hugo Sánchez,93.0,ST,93.0,94.0,84.0,92.0,45.0,78.0,92.0,93.0,95.0,94.0,90.0,99.0,91.0,85.0,86.0,90.0,86.0,70.0,86.0,93.0,91.0,90.0,91.0,94.0,85.0,46.0,95.0,38.0,35.0,88.0,85.0,76.0,70.0
Andrea Pirlo,93.0,CM,82.0,84.0,96.0,93.0,75.0,75.0,83.0,81.0,81.0,83.0,87.0,80.0,93.0,97.0,91.0,97.0,97.0,97.0,95.0,92.0,88.0,96.0,96.0,92.0,96.0,83.0,57.0,73.0,70.0,65.0,94.0,73.0,61.0
Javier Zanetti,93.0,RB,90.0,66.0,90.0,86.0,90.0,84.0,89.0,91.0,65.0,79.0,54.0,63.0,72.0,86.0,97.0,59.0,97.0,91.0,61.0,80.0,86.0,91.0,93.0,82.0,89.0,93.0,85.0,91.0,90.0,70.0,91.0,80.0,88.0
Mohamed Salah,93.0,RW,93.0,92.0,87.0,93.0,51.0,80.0,92.0,94.0,96.0,86.0,88.0,87.0,89.0,90.0,85.0,73.0,89.0,82.0,89.0,93.0,94.0,96.0,91.0,93.0,95.0,62.0,67.0,49.0,46.0,74.0,93.0,80.0,67.0
Xavi,93.0,CM,81.0,80.0,95.0,93.0,72.0,72.0,82.0,80.0,76.0,82.0,84.0,69.0,80.0,98.0,91.0,87.0,97.0,95.0,85.0,89.0,95.0,95.0,97.0,91.0,98.0,88.0,52.0,69.0,64.0,65.0,90.0,69.0,57.0
Thierry Henry,93.0,ST,94.0,91.0,83.0,90.0,53.0,80.0,94.0,94.0,94.0,88.0,87.0,90.0,86.0,82.0,80.0,87.0,87.0,76.0,93.0,90.0,66.0,90.0,93.0,91.0,86.0,53.0,85.0,51.0,45.0,70.0,88.0,83.0,64.0
Ruud Gullit,93.0,CF,86.0,91.0,91.0,89.0,82.0,90.0,85.0,87.0,89.0,96.0,94.0,88.0,85.0,92.0,88.0,92.0,92.0,94.0,89.0,78.0,85.0,95.0,92.0,89.0,91.0,81.0,95.0,82.0,77.0,86.0,95.0,89.0,87.0
Roberto Baggio,93.0,CAM,86.0,84.0,92.0,92.0,40.0,61.0,88.0,84.0,88.0,74.0,84.0,85.0,86.0,95.0,87.0,90.0,94.0,90.0,94.0,81.0,82.0,89.0,96.0,95.0,85.0,38.0,75.0,34.0,33.0,65.0,76.0,62.0,41.0
Marco van Basten,93.0,ST,83.0,94.0,76.0,89.0,39.0,75.0,81.0,85.0,97.0,94.0,88.0,98.0,90.0,77.0,74.0,78.0,80.0,66.0,77.0,86.0,74.0,95.0,93.0,88.0,92.0,47.0,90.0,32.0,31.0,85.0,78.0,82.0,52.0
Lothar Matthäus,93.0,CM,89.0,89.0,90.0,82.0,90.0,85.0,93.0,85.0,81.0,97.0,96.0,90.0,95.0,91.0,84.0,91.0,93.0,93.0,77.0,77.0,81.0,91.0,89.0,77.0,91.0,93.0,79.0,94.0,91.0,74.0,93.0,78.0,93.0
George Best,93.0,RW,93.0,91.0,84.0,94.0,58.0,71.0,94.0,92.0,94.0,89.0,90.0,88.0,88.0,86.0,89.0,75.0,85.0,79.0,82.0,93.0,91.0,90.0,95.0,95.0,92.0,63.0,87.0,53.0,50.0,80.0,87.0,68.0,54.0
Franco Baresi,93.0,CB,70.0,49.0,76.0,72.0,95.0,82.0,64.0,74.0,46.0,54.0,50.0,51.0,63.0,72.0,65.0,45.0,88.0,87.0,59.0,75.0,76.0,93.0,86.0,57.0,86.0,95.0,90.0,95.0,96.0,82.0,85.0,80.0,81.0
Eusébio,93.0,CF,94.0,94.0,86.0,93.0,45.0,79.0,93.0,94.0,95.0,95.0,92.0,89.0,92.0,86.0,87.0,85.0,87.0,85.0,84.0,98.0,96.0,95.0,90.0,93.0,90.0,39.0,90.0,40.0,36.0,90.0,95.0,71.0,75.0
Eric Cantona,93.0,CF,89.0,93.0,90.0,93.0,53.0,92.0,88.0,89.0,92.0,94.0,93.0,97.0,91.0,94.0,89.0,86.0,90.0,86.0,91.0,86.0,86.0,91.0,95.0,94.0,96.0,49.0,92.0,54.0,51.0,92.0,91.0,92.0,93.0
Carlos Alberto,93.0,RB,90.0,66.0,81.0,86.0,90.0,87.0,91.0,90.0,59.0,85.0,61.0,46.0,83.0,87.0,86.0,35.0,91.0,65.0,66.0,84.0,72.0,90.0,89.0,85.0,86.0,90.0,86.0,91.0,90.0,84.0,90.0,89.0,79.0
Kevin De Bruyne,93.0,CM,77.0,90.0,95.0,90.0,67.0,99.0,79.0,76.0,87.0,94.0,93.0,85.0,85.0,96.0,96.0,85.0,95.0,95.0,91.0,79.0,81.0,94.0,93.0,91.0,92.0,69.0,58.0,68.0,56.0,90.0,99.0,99.0,99.0
Garrincha,93.0,RW,90.0,87.0,93.0,95.0,41.0,68.0,92.0,89.0,90.0,87.0,82.0,86.0,82.0,92.0,95.0,91.0,93.0,90.0,91.0,93.0,91.0,90.0,95.0,97.0,90.0,41.0,65.0,40.0,38.0,69.0,85.0,65.0,53.0
Kylian Mbappé,93.0,ST,98.0,91.0,84.0,94.0,39.0,80.0,98.0,98.0,95.0,90.0,84.0,85.0,82.0,87.0,82.0,72.0,89.0,75.0,84.0,95.0,83.0,95.0,93.0,95.0,90.0,41.0,78.0,37.0,35.0,81.0,92.0,80.0,67.0
Julián Álvarez,92.0,ST,90.0,91.0,86.0,90.0,60.0,81.0,95.0,86.0,91.0,96.0,91.0,85.0,83.0,92.0,85.0,84.0,83.0,84.0,91.0,94.0,94.0,85.0,90.0,89.0,89.0,51.0,76.0,59.0,51.0,75.0,87.0,76.0,90.0
Harry Kane,92.0,ST,86.0,95.0,88.0,87.0,49.0,88.0,85.0,87.0,97.0,96.0,90.0,91.0,96.0,92.0,85.0,69.0,89.0,90.0,87.0,72.0,75.0,98.0,89.0,88.0,98.0,46.0,89.0,38.0,40.0,85.0,89.0,89.0,86.0
Kylian Mbappé,92.0,ST,98.0,90.0,83.0,93.0,37.0,77.0,98.0,98.0,94.0,89.0,83.0,84.0,81.0,86.0,81.0,72.0,88.0,74.0,83.0,94.0,82.0,94.0,92.0,94.0,89.0,39.0,74.0,35.0,33.0,78.0,88.0,77.0,65.0
Claude Makélélé,92.0,CDM,85.0,52.0,83.0,83.0,90.0,89.0,87.0,84.0,54.0,50.0,53.0,41.0,34.0,87.0,85.0,37.0,89.0,82.0,58.0,89.0,87.0,86.0,85.0,80.0,83.0,89.0,69.0,95.0,93.0,93.0,97.0,88.0,79.0
Robert Pirès,92.0,LM,90.0,86.0,89.0,92.0,41.0,70.0,90.0,90.0,90.0,80.0,81.0,81.0,85.0,92.0,90.0,85.0,89.0,86.0,88.0,91.0,90.0,88.0,93.0,92.0,90.0,48.0,54.0,39.0,37.0,82.0,88.0,66.0,52.0
Jairzinho,92.0,RW,94.0,92.0,87.0,93.0,51.0,76.0,96.0,93.0,94.0,94.0,89.0,88.0,81.0,92.0,85.0,79.0,88.0,81.0,84.0,93.0,88.0,91.0,91.0,95.0,93.0,48.0,90.0,48.0,46.0,86.0,85.0,83.0,47.0
Samuel Eto'o,92.0,ST,95.0,93.0,81.0,90.0,47.0,83.0,95.0,95.0,96.0,91.0,91.0,90.0,90.0,85.0,77.0,86.0,85.0,72.0,81.0,89.0,83.0,94.0,91.0,90.0,94.0,43.0,83.0,41.0,36.0,91.0,90.0,80.0,78.0
Ruud van Nistelrooy,92.0,ST,86.0,91.0,74.0,85.0,37.0,82.0,85.0,87.0,93.0,94.0,78.0,94.0,90.0,79.0,71.0,79.0,80.0,53.0,78.0,73.0,68.0,99.0,90.0,84.0,98.0,36.0,76.0,31.0,31.0,79.0,80.0,87.0,74.0
Rivaldo,92.0,LW,87.0,91.0,88.0,92.0,44.0,78.0,86.0,88.0,89.0,94.0,94.0,92.0,88.0,88.0,89.0,92.0,89.0,84.0,94.0,90.0,77.0,93.0,94.0,92.0,92.0,38.0,77.0,43.0,39.0,75.0,85.0,81.0,62.0
Raúl,92.0,CF,88.0,92.0,82.0,90.0,47.0,75.0,87.0,89.0,96.0,87.0,88.0,92.0,83.0,94.0,70.0,78.0,89.0,66.0,75.0,88.0,92.0,92.0,93.0,88.0,92.0,41.0,96.0,42.0,34.0,91.0,88.0,77.0,48.0
Luís Figo,92.0,RW,92.0,88.0,89.0,92.0,41.0,80.0,93.0,91.0,89.0,85.0,89.0,80.0,85.0,88.0,92.0,83.0,91.0,85.0,76.0,91.0,81.0,89.0,93.0,95.0,83.0,42.0,64.0,41.0,38.0,72.0,87.0,78.0,77.0
Kenny Dalglish,92.0,ST,90.0,92.0,77.0,90.0,41.0,73.0,92.0,89.0,94.0,89.0,91.0,93.0,90.0,75.0,77.0,88.0,85.0,56.0,83.0,92.0,90.0,94.0,91.0,89.0,89.0,30.0,86.0,39.0,37.0,79.0,86.0,67.0,71.0
Javier Zanetti,92.0,RB,86.0,63.0,88.0,85.0,90.0,81.0,85.0,87.0,62.0,75.0,50.0,60.0,69.0,84.0,95.0,58.0,94.0,88.0,60.0,79.0,85.0,91.0,92.0,81.0,88.0,93.0,85.0,91.0,89.0,50.0,92.0,77.0,87.0
Hugo Sánchez,92.0,ST,92.0,93.0,81.0,91.0,44.0,75.0,91.0,92.0,94.0,93.0,89.0,98.0,90.0,84.0,85.0,89.0,85.0,56.0,85.0,92.0,90.0,89.0,90.0,93.0,84.0,45.0,93.0,37.0,34.0,86.0,79.0,74.0,68.0
Hristo Stoichkov,92.0,ST,92.0,93.0,86.0,92.0,50.0,86.0,93.0,91.0,94.0,92.0,92.0,92.0,92.0,88.0,85.0,89.0,85.0,82.0,90.0,90.0,84.0,89.0,92.0,93.0,89.0,53.0,82.0,53.0,48.0,79.0,86.0,83.0,93.0
Gary Lineker,92.0,ST,88.0,91.0,73.0,86.0,36.0,76.0,90.0,87.0,95.0,88.0,86.0,91.0,88.0,72.0,62.0,67.0,83.0,70.0,64.0,83.0,79.0,92.0,89.0,85.0,86.0,43.0,88.0,28.0,25.0,78.0,85.0,79.0,58.0
Fabio Cannavaro,92.0,CB,80.0,43.0,63.0,68.0,95.0,85.0,84.0,77.0,34.0,57.0,50.0,42.0,52.0,50.0,59.0,37.0,73.0,70.0,63.0,85.0,82.0,91.0,70.0,58.0,82.0,96.0,90.0,95.0,94.0,93.0,78.0,87.0,85.0
Emilio Butragueño,92.0,ST,94.0,90.0,80.0,92.0,41.0,68.0,95.0,93.0,95.0,87.0,85.0,87.0,83.0,89.0,75.0,77.0,85.0,62.0,79.0,91.0,90.0,91.0,92.0,93.0,89.0,45.0,88.0,33.0,30.0,84.0,84.0,65.0,51.0
Dennis Bergkamp,92.0,CF,84.0,91.0,86.0,90.0,37.0,78.0,85.0,83.0,93.0,91.0,85.0,93.0,94.0,91.0,84.0,84.0,90.0,77.0,82.0,81.0,82.0,95.0,94.0,89.0,95.0,30.0,64.0,41.0,36.0,78.0,82.0,77.0,74.0
David Beckham,92.0,RM,80.0,87.0,95.0,88.0,69.0,82.0,77.0,82.0,82.0,89.0,96.0,84.0,90.0,94.0,98.0,97.0,93.0,97.0,98.0,78.0,84.0,94.0,92.0,86.0,94.0,71.0,73.0,69.0,63.0,72.0,93.0,77.0,82.0
Carles Puyol,92.0,CB,70.0,45.0,68.0,58.0,94.0,90.0,69.0,70.0,35.0,71.0,42.0,37.0,55.0,58.0,70.0,48.0,76.0,73.0,51.0,54.0,55.0,90.0,65.0,49.0,85.0,96.0,92.0,95.0,91.0,86.0,85.0,93.0,91.0
Bobby Moore,92.0,CB,68.0,64.0,83.0,78.0,93.0,85.0,69.0,68.0,55.0,77.0,68.0,64.0,76.0,81.0,76.0,66.0,92.0,89.0,72.0,82.0,83.0,93.0,90.0,66.0,94.0,92.0,88.0,94.0,92.0,84.0,93.0,83.0,80.0
Andrea Pirlo,92.0,CM,73.0,80.0,95.0,91.0,71.0,67.0,74.0,72.0,78.0,80.0,84.0,73.0,90.0,96.0,90.0,96.0,96.0,96.0,94.0,84.0,76.0,95.0,95.0,91.0,95.0,79.0,54.0,69.0,66.0,59.0,84.0,65.0,55.0
Alessandro Nesta,92.0,CB,72.0,42.0,65.0,67.0,94.0,86.0,74.0,70.0,39.0,50.0,39.0,43.0,47.0,58.0,54.0,33.0,81.0,69.0,46.0,38.0,52.0,89.0,78.0,65.0,78.0,93.0,86.0,95.0,94.0,84.0,73.0,92.0,87.0
Alessandro Del Piero,92.0,CF,83.0,92.0,89.0,92.0,43.0,67.0,84.0,83.0,95.0,86.0,91.0,87.0,94.0,94.0,89.0,91.0,89.0,80.0,90.0,84.0,66.0,89.0,95.0,95.0,93.0,41.0,76.0,42.0,36.0,58.0,82.0,64.0,59.0
Karim Benzema,92.0,CM,83.0,89.0,87.0,92.0,81.0,86.0,82.0,83.0,93.0,88.0,81.0,89.0,85.0,93.0,79.0,77.0,93.0,80.0,86.0,82.0,76.0,97.0,96.0,92.0,95.0,81.0,99.0,50.0,37.0,87.0,90.0,90.0,69.0
Lothar Matthäus,92.0,CDM,88.0,87.0,88.0,80.0,90.0,83.0,90.0,86.0,77.0,94.0,95.0,91.0,99.0,92.0,83.0,88.0,90.0,90.0,74.0,74.0,74.0,99.0,89.0,73.0,97.0,96.0,76.0,92.0,91.0,74.0,89.0,77.0,95.0
Virgil van Dijk,92.0,CB,83.0,61.0,73.0,74.0,92.0,88.0,70.0,93.0,53.0,82.0,65.0,46.0,63.0,67.0,54.0,72.0,81.0,88.0,62.0,63.0,54.0,91.0,78.0,72.0,92.0,92.0,89.0,94.0,88.0,90.0,76.0,95.0,87.0
Roberto Baggio,92.0,CAM,87.0,83.0,90.0,91.0,39.0,61.0,89.0,85.0,86.0,73.0,84.0,84.0,84.0,93.0,87.0,88.0,92.0,87.0,92.0,80.0,79.0,86.0,94.0,93.0,89.0,38.0,69.0,33.0,30.0,63.0,70.0,63.0,42.0
Johan Cruyff,92.0,CF,91.0,90.0,89.0,94.0,41.0,73.0,93.0,89.0,92.0,83.0,91.0,93.0,88.0,92.0,86.0,84.0,90.0,86.0,92.0,97.0,80.0,92.0,96.0,94.0,91.0,43.0,59.0,36.0,39.0,67.0,82.0,69.0,71.0
Eusébio,92.0,CF,93.0,94.0,88.0,92.0,41.0,77.0,92.0,93.0,95.0,95.0,92.0,89.0,92.0,88.0,89.0,87.0,89.0,87.0,86.0,97.0,95.0,94.0,89.0,92.0,89.0,35.0,82.0,36.0,32.0,88.0,93.0,69.0,73.0
Cafu,92.0,RB,91.0,58.0,85.0,88.0,89.0,85.0,92.0,90.0,46.0,67.0,66.0,64.0,76.0,85.0,93.0,64.0,86.0,78.0,77.0,79.0,83.0,88.0,89.0,90.0,89.0,92.0,76.0,90.0,88.0,82.0,91.0,85.0,77.0
Sadio Mané,92.0,LM,93.0,87.0,85.0,91.0,47.0,80.0,94.0,93.0,90.0,87.0,82.0,79.0,79.0,89.0,83.0,68.0,89.0,75.0,82.0,96.0,91.0,94.0,89.0,91.0,87.0,37.0,90.0,45.0,41.0,90.0,88.0,75.0,78.0
Mohamed Salah,92.0,RW,92.0,91.0,85.0,92.0,49.0,78.0,91.0,93.0,95.0,85.0,87.0,86.0,88.0,88.0,83.0,72.0,87.0,80.0,87.0,92.0,93.0,95.0,90.0,92.0,94.0,60.0,64.0,47.0,45.0,72.0,90.0,78.0,66.0
Robert Lewandowski,92.0,ST,77.0,92.0,81.0,87.0,45.0,84.0,78.0,77.0,95.0,92.0,85.0,90.0,91.0,84.0,74.0,88.0,87.0,73.0,82.0,78.0,83.0,94.0,90.0,86.0,89.0,67.0,99.0,57.0,26.0,86.0,77.0,88.0,82.0
Mohamed Salah,92.0,ST,92.0,91.0,85.0,92.0,48.0,78.0,91.0,93.0,95.0,85.0,87.0,86.0,88.0,88.0,83.0,72.0,87.0,80.0,87.0,92.0,93.0,95.0,90.0,92.0,94.0,59.0,63.0,46.0,44.0,72.0,90.0,78.0,66.0
Kylian Mbappé,92.0,ST,98.0,90.0,82.0,93.0,37.0,78.0,98.0,98.0,94.0,89.0,83.0,84.0,81.0,85.0,80.0,71.0,87.0,73.0,82.0,94.0,82.0,94.0,92.0,94.0,89.0,39.0,74.0,35.0,33.0,79.0,89.0,78.0,66.0
Lionel Messi,92.0,CAM,82.0,90.0,91.0,95.0,35.0,65.0,88.0,77.0,91.0,87.0,92.0,89.0,76.0,95.0,85.0,94.0,92.0,91.0,94.0,92.0,96.0,93.0,94.0,96.0,97.0,41.0,72.0,36.0,25.0,69.0,71.0,69.0,45.0
Robert Lewandowski,92.0,ST,77.0,92.0,81.0,87.0,45.0,84.0,78.0,77.0,95.0,92.0,85.0,90.0,91.0,84.0,74.0,88.0,87.0,73.0,82.0,78.0,83.0,94.0,90.0,86.0,89.0,67.0,99.0,57.0,26.0,86.0,77.0,88.0,82.0
Kevin De Bruyne,92.0,CM,75.0,89.0,94.0,88.0,66.0,79.0,77.0,74.0,86.0,93.0,92.0,84.0,84.0,95.0,95.0,84.0,94.0,94.0,90.0,77.0,79.0,92.0,91.0,89.0,90.0,99.0,82.0,98.0,80.0,65.0,90.0,76.0,77.0
Gavi,91.0,CM,88.0,80.0,90.0,92.0,76.0,81.0,89.0,87.0,85.0,70.0,81.0,61.0,64.0,95.0,81.0,55.0,98.0,91.0,86.0,95.0,99.0,86.0,90.0,93.0,82.0,83.0,50.0,83.0,78.0,85.0,94.0,66.0,99.0
João Cancelo,91.0,LB,90.0,78.0,88.0,90.0,85.0,80.0,91.0,89.0,74.0,85.0,84.0,66.0,56.0,88.0,91.0,71.0,91.0,82.0,90.0,84.0,83.0,90.0,92.0,91.0,91.0,99.0,99.0,99.0,99.0,79.0,99.0,68.0,83.0
